nct_id,phase,why_stopped,start_date,category,phase_clean
NCT05399368,PHASE2,Study on clinical hold by FDA,2022-06-07,unknown,PHASE2
NCT02501213,PHASE2,Lack of enrollment,2016-05-30,enrollment,PHASE2
NCT03844750,PHASE2,Sponsor decision,2019-07-22,strategy/business,PHASE2
NCT03831191,PHASE2,The study was terminated for lack of efficacy after an interim analysis was performed,2019-02-12,efficacy,PHASE2
NCT04037891,"PHASE1, PHASE2","The trial has terminated early due to the disruptions caused by the ongoing COVID-19 pandemic. The decision was not related to any efficacy, safety or clinical concerns regarding rVA576.",2019-03-04,efficacy,PHASE2
NCT02972450,"PHASE1, PHASE2","Due to the bankruptcy of FITBiotech, the provider of the GTU DNA vaccine.",2019-02-20,unknown,PHASE2
NCT02368691,PHASE2,Lack of Efficacy,Jun-15,efficacy,PHASE2
NCT02464891,PHASE2,The study had accomplished its goal with the 6 patients who have been enrolled.,2015-06-04,enrollment,PHASE2
NCT06585150,PHASE2,Study was terminated by Sponsor; the decision was not due to any safety findings.,2024-10-14,safety,PHASE2
NCT04160091,PHASE2,The study was terminated prematurely due to the COVID-19 pandemic creating uncertainty impacting trial progress and costs.,2019-11-07,unknown,PHASE2
NCT04411472,PHASE3,The Data Monitoring Committee (DMC) concluded that the pre-specified futility threshold was met and that there was no safety concern.,2020-11-02,safety,PHASE3
NCT03281044,PHASE2,"Although not observed in our patients (4 enrolled), SAEs have been reported in other patients receiving the same product.",2018-10-24,enrollment,PHASE2
NCT03311334,"PHASE1, PHASE2",Sponsor's decision to terminate development of the program.,2017-12-14,unknown,PHASE2
NCT03001219,PHASE2,The trial was prematurely terminated due to a lack of efficacy of the investigational drug.,2016-12-22,efficacy,PHASE2
NCT04681677,PHASE2,unspecified business decision,2021-11-02,strategy/business,PHASE2
NCT04082000,"PHASE1, PHASE2",study stopped due to company strategic prioritization,2019-04-15,unknown,PHASE2
NCT03986944,PHASE3,Study halted due to the significant enrollment challenges encountered since its beginning. Screening and enrollment have been impacted by the COVID pandemic and more importantly by changes in the diagnosis and treatment of women with endometriosis.,2019-05-23,enrollment,PHASE3
NCT05442775,PHASE3,The DMC recommended the trial be discontinued due to futility following a planned second interim analysis of the parent trial (CY 5031).,2022-08-04,unknown,PHASE3
